Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Change from Open,Gap,buffett_class,buffett_binary
A,,,,,30830000000.0,24.85,108.14,-0.0139999999999999,640288.0,17.88,3.1,4.72,5.12,21.01,23.49,0.0486,0.0902,0.0562999999999999,0.0802,0.0504,0.0091,0.1101,0.2061,0.1343,2.2,1.66,0.56,0.56,0.5434,0.2434,0.1926999999999999,,1.23,3.51,-0.0148,-0.0220999999999999,-0.1757,-0.2968,0.1219,45.95,0.0038,-0.0173,0,0
AAPL,,,,,2932350000000.0,30.64,196.33,-0.025,48235356.0,25.12,3.75,7.32,43.87,60.41,29.75,0.064,0.0871,0.1541,0.0816,0.0917999999999999,0.0053,0.291,1.3802,0.6693000000000001,0.82,0.78,1.18,1.47,0.4663,0.3181,0.243,,1.23,6.33,-0.0466,-0.0496999999999999,-0.1315,-0.2455999999999999,0.1597,39.44,0.0132,-0.0382,3,1
ABBV,,,,,324980000000.0,78.45,183.98,0.0079,1873700.0,13.13,5.15,5.66,228.5,62.69,21.09,0.2080999999999999,0.1445,-0.1467,0.152,0.1219,0.0354,0.0292,0.8815000000000001,0.063,0.76,0.64,45.44,49.22,0.708,0.3074,0.0724,,0.5,5.48,-0.0210999999999999,-0.0366,-0.0289999999999999,-0.1596,0.1964999999999999,46.97,0.0076,-0.0009,0,0
ABEV,,,,,39200000000.0,15.5,2.51,-0.002,15875026.0,13.85,1.95,2.41,2.38,11.1,9.64,0.0958,0.0527,-0.0217,0.0799,0.0537,0.0635,0.0963,0.1509,0.1512,1.11,0.8,0.02,0.03,0.479,0.2206,0.1564,,0.82,0.06,0.0001,0.0449,0.1467,-0.0455,0.429,58.31,0.0224,-0.0199,0,0
ABNB,,,,,79500000000.0,31.94,126.92,-0.0056999999999999,2277369.0,26.25,2.81,7.07,9.88,6.88,18.23,0.0148,0.1577,,0.1134,0.2357,,0.1024,0.3206,0.311,1.27,1.27,0.03,0.29,0.7147,0.2217,0.226,,1.15,4.27,-0.0158,0.0304,-0.0181,-0.226,0.2703,48.75,0.0143,-0.0200999999999999,0,0
ABT,,,,,228410000000.0,17.03,131.28,-0.0017,2558415.0,23.1,1.65,5.39,4.68,33.36,34.3,0.1045,0.1014,0.2998,0.1033999999999999,0.0615,0.0181,0.1745,0.3066,0.2182,1.78,1.27,0.26,0.27,0.5142,0.1696,0.3172,,0.73,2.74,-0.0075,0.0111,0.0812,-0.0704,0.3167,48.75,-0.003,0.0014,0,0
ACGL,,,,,34540000000.0,9.45,92.16,0.0021,348657.0,9.94,4.92,1.96,1.67,,5.3,-0.1593,0.1903,0.2362999999999999,0.0192,0.2057,0.0353,0.065,0.1842,0.1535,0.52,,0.13,0.13,,0.2028,0.2112,,0.53,2.12,-0.0067,-0.006,-0.0418,-0.1671,0.1182,48.03,0.006,-0.003,0,0
ACI,,,,,12730000000.0,13.45,22.11,0.0128,1018219.0,9.78,,0.16,3.76,37.5,16.98,-0.0929,0.0647,0.1101999999999999,,0.0525,0.0271,0.033,0.3126,0.057,0.9,0.22,3.96,4.19,0.2565,0.025,0.0118999999999999,,0.45,0.49,0.0052,0.0157,0.0996,-0.0474,0.3001,52.91,0.0092,0.0032,0,0
ACM,,,,,14240000000.0,23.48,107.64,0.0025,152381.0,19.01,2.09,0.89,6.22,8.9,17.03,0.1391,0.1001,,0.1122,0.0355,0.0058,0.0542,0.2807,0.1177999999999999,1.15,1.15,1.29,1.38,0.0709,0.061,0.0385,,0.96,2.1,0.0291,0.096,0.0458999999999999,-0.0926999999999999,0.3082,67.15,0.0103,-0.0084,0,0
ACN,,,,,194710000000.0,25.66,311.02,-0.0172,1486423.0,22.8,3.46,2.9,6.66,22.91,19.97,0.0636,0.0728,0.0921,0.0741,0.0875,0.0184,0.1382,0.2726,0.2105,1.48,1.48,0.25,0.28,0.3221,0.1543999999999999,0.1143,,1.34,7.08,-0.0005,0.0223,-0.0917999999999999,-0.2194,0.1306,50.42,-0.0006,-0.0169,0,0
